Organisation Name,Purchase_Order_Number,Order_Date,Total_Value,Supplier_Name,Account_Name,Service
Rochdale Borough Council,e1027965,15/04/2019,"£12,750.00",BARNARDOS,SUBSCRIPTIONS,EARLY HELP AND SCHOOLS
Rochdale Borough Council,x1017505,15/04/2019,"£10,675.00",THE DARTINGTON HALL TRUST,TRAINING,CHILDREN’S SOCIAL CARE
Rochdale Borough Council,f1007814,15/04/2019,"£5,893.00",CAPITA BUSINESS SERVICES LIMITED,SOFTWARE,RESOURCES
Rochdale Borough Council,d1082384,16/04/2019,"£6,500.00",MIDDLETON CARS,TAXI HIRE,NEIGHBOURHOODS AND ENVIRONMENT
Rochdale Borough Council,d1082382,16/04/2019,"£5,000.00",MIDDLETON CARS,TAXI HIRE,NEIGHBOURHOODS AND ENVIRONMENT
Rochdale Borough Council,d1082383,16/04/2019,"£5,000.00",MIDDLETON CARS,TAXI HIRE,NEIGHBOURHOODS AND ENVIRONMENT
Rochdale Borough Council,d3001740,16/04/2019,"£130,288.79",NPOWER LIMITED,ELECTRICITY,PROPERTY AND HIGHWAYS
Rochdale Borough Council,d3001741,16/04/2019,"£109,547.15",NPOWER LIMITED,ELECTRICITY,PROPERTY AND HIGHWAYS
Rochdale Borough Council,f1007818,16/04/2019,"£36,600.00",NORTHGATE PUBLIC SERVICES UK LTD,SOFTWARE,RESOURCES
Rochdale Borough Council,r1002092,16/04/2019,"£24,583.44",BRAHM FUNDCO 2 LTD,PFI SCHEMES RPI,ECONOMY DIRECTORATE
Rochdale Borough Council,f1007819,16/04/2019,"£20,630.00",NORTH WEST EMPLOYERS,SUBSCRIPTIONS,RESOURCES
Rochdale Borough Council,ph103553,16/04/2019,"£9,161.00",THE PENNINE ACUTE HOSPITALS NHS TRUST,PH OTHER CONTRACTS,PUBLIC HEALTH
Rochdale Borough Council,s1024507,16/04/2019,"£6,046.00",STANNAH LIFT SERVICES LTD,MINOR BUILDING WORKS,ADULT CARE LCO FUNCTIONS
Rochdale Borough Council,d2001279,17/04/2019,"£65,625.00",GRAVITAS RECRUITMENT GROUP,CAPITAL - STAFFING AGENCY PAYMENTS,NEIGHBOURHOODS AND ENVIRONMENT
Rochdale Borough Council,d2001280,17/04/2019,"£65,625.00",GRAVITAS RECRUITMENT GROUP,CAPITAL - STAFFING AGENCY PAYMENTS,NEIGHBOURHOODS AND ENVIRONMENT
Rochdale Borough Council,d2001276,17/04/2019,"£54,000.00",GRAVITAS RECRUITMENT GROUP,CAPITAL - STAFFING AGENCY PAYMENTS,NEIGHBOURHOODS AND ENVIRONMENT
Rochdale Borough Council,r1002095,17/04/2019,"£53,300.00",DONALD INSALL ASSOCIATES,CONSULTANTS FEES,ECONOMY DIRECTORATE
Rochdale Borough Council,d2001281,17/04/2019,"£52,800.00",GRAVITAS RECRUITMENT GROUP,CAPITAL - STAFFING AGENCY PAYMENTS,NEIGHBOURHOODS AND ENVIRONMENT
Rochdale Borough Council,d1082406,17/04/2019,"£41,460.00",SSI SCHAEFER LIMITED,PURCHASE OF FURNITURE AND EQUIPMENT,NEIGHBOURHOODS AND ENVIRONMENT
Rochdale Borough Council,r1002094,17/04/2019,"£38,356.50",GILLESPIES LLP,CONSULTANTS FEES,ECONOMY DIRECTORATE
Rochdale Borough Council,d2001282,17/04/2019,"£26,400.00",GRAVITAS RECRUITMENT GROUP,CAPITAL - STAFFING AGENCY PAYMENTS,NEIGHBOURHOODS AND ENVIRONMENT
Rochdale Borough Council,d3001745,17/04/2019,"£12,560.00",MEASURE 2 IMPROVE,ASSET MANAGEMENT PLANS & SURVEYS,PROPERTY AND HIGHWAYS
Rochdale Borough Council,d2001287,17/04/2019,"£7,322.00",AGILISYS LIMITED,AGILISYS CONTRACT,NEIGHBOURHOODS AND ENVIRONMENT
Rochdale Borough Council,d2001275,17/04/2019,"£5,657.76",SPECIALIST COMPUTER CENTRES PLC,EQUIPMENT - GENERAL,NEIGHBOURHOODS AND ENVIRONMENT
Rochdale Borough Council,d3001747,17/04/2019,"£5,559.70",SAFEGARD SOLUTIONS LTD,SECURITY,ECONOMY DIRECTORATE
Rochdale Borough Council,s1024523,17/04/2019,"£5,362.84",UPS BUILDING AND MAINTENANCE LTD,MINOR BUILDING WORKS,ADULT CARE LCO FUNCTIONS
Rochdale Borough Council,s1024533,17/04/2019,"£5,327.81",UPS BUILDING AND MAINTENANCE LTD,MINOR BUILDING WORKS,ADULT CARE LCO FUNCTIONS
Rochdale Borough Council,s1024529,17/04/2019,"£5,225.77",UPS BUILDING AND MAINTENANCE LTD,TRANSACTIONS-EXPENDITURE,ADULT CARE LCO FUNCTIONS
Rochdale Borough Council,s1024548,17/04/2019,"£5,141.82",UPS BUILDING AND MAINTENANCE LTD,MINOR BUILDING WORKS,ADULT CARE LCO FUNCTIONS
Rochdale Borough Council,s1024546,17/04/2019,"£5,117.24",UPS BUILDING AND MAINTENANCE LTD,MINOR BUILDING WORKS,ADULT CARE LCO FUNCTIONS
Rochdale Borough Council,s1024522,17/04/2019,"£5,109.63",UPS BUILDING AND MAINTENANCE LTD,TRANSACTIONS-EXPENDITURE,ADULT CARE LCO FUNCTIONS
Rochdale Borough Council,s1024531,17/04/2019,"£5,047.18",UPS BUILDING AND MAINTENANCE LTD,MINOR BUILDING WORKS,ADULT CARE LCO FUNCTIONS
Rochdale Borough Council,s1024532,17/04/2019,"£5,031.43",UPS BUILDING AND MAINTENANCE LTD,MINOR BUILDING WORKS,ADULT CARE LCO FUNCTIONS
Rochdale Borough Council,d2001298,18/04/2019,"£180,000.00",XEROX UK LTD,TRANSACTIONS-EXPENDITURE,NEIGHBOURHOODS AND ENVIRONMENT
Rochdale Borough Council,r1002096,18/04/2019,"£53,300.00",DONALD INSALL ASSOCIATES,CONSULTANTS FEES,ECONOMY DIRECTORATE
Rochdale Borough Council,d2001290,18/04/2019,"£48,750.00",STHREE PARTNERSHIP LLP,CONSULTANT FEES,NEIGHBOURHOODS AND ENVIRONMENT
Rochdale Borough Council,d2001297,18/04/2019,"£29,076.00",DAISY COMMUNICATIONS LTD,MOBILE PHONE,NEIGHBOURHOODS AND ENVIRONMENT
Rochdale Borough Council,d2001299,18/04/2019,"£13,056.00",VIRGIN MEDIA BUSINESS,COMMUNICATION AND COMPUTING - GENERAL,ADULT CARE LCO FUNCTIONS
Rochdale Borough Council,d1082428,18/04/2019,"£6,780.15",KOMPAN UK LIMITED,ENVIRONMENTAL WORKS LANDSCAPE,NEIGHBOURHOODS AND ENVIRONMENT
Rochdale Borough Council,d1082416,18/04/2019,"£6,550.00",J A CRYER EXCAVATION & GROUNDWORK CONTRACTORS LTD,ENVIRONMENTAL WORKS LANDSCAPE,NEIGHBOURHOODS AND ENVIRONMENT
Rochdale Borough Council,s1024551,18/04/2019,"£5,021.40",UPS BUILDING AND MAINTENANCE LTD,TRANSACTIONS-EXPENDITURE,ADULT CARE LCO FUNCTIONS
Rochdale Borough Council,ph103559,23/04/2019,"£106,789.43",LINK4LIFE CHARITY,SEVERANCE PAYMENTS,PUBLIC HEALTH
Rochdale Borough Council,ph103557,23/04/2019,"£50,700.00",LINK4LIFE CHARITY,LINK 4 LIFE CONTRACT,PUBLIC HEALTH
Rochdale Borough Council,d3001751,23/04/2019,"£40,000.00",AECOM INFRASTRUCTURE AND ENVIRONMENT UK LTD,ROADWORKS,PROPERTY AND HIGHWAYS
Rochdale Borough Council,d1082434,23/04/2019,"£10,395.00",MJC SAFEGUARDING CONSULTANCY,ACTIVITIES,NEIGHBOURHOODS AND ENVIRONMENT
Rochdale Borough Council,d1082449,23/04/2019,"£9,870.77",J GREENWOOD (BUILDERS) LIMITED,MINOR BUILDING WORKS,NEIGHBOURHOODS AND ENVIRONMENT
Rochdale Borough Council,e1027997,23/04/2019,"£8,900.67",THE UNIVERSITY OF SHEFFIELD,AGENCY STAFF,EARLY HELP AND SCHOOLS
Rochdale Borough Council,ph103556,23/04/2019,"£6,617.93",BRAHM FUNDCO 1 LTD,RENTS,PUBLIC HEALTH
Rochdale Borough Council,d2001304,23/04/2019,"£5,775.00",AGILE APPLICATIONS LTD,SOFTWARE,NEIGHBOURHOODS AND ENVIRONMENT
Rochdale Borough Council,s1024554,23/04/2019,"£5,478.20",UPS BUILDING AND MAINTENANCE LTD,MINOR BUILDING WORKS,ADULT CARE LCO FUNCTIONS
Rochdale Borough Council,d2001307,24/04/2019,"£451,074.00",SPECIALIST COMPUTER CENTRES PLC,PURCHASE OF ICT HARDWARE,NEIGHBOURHOODS AND ENVIRONMENT
Rochdale Borough Council,d3001761,24/04/2019,"£151,019.28",GMCA,MINOR BUILDING WORKS,PROPERTY AND HIGHWAYS
Rochdale Borough Council,d1082465,24/04/2019,"£68,027.52",ROCHDALE HOUSING INITIATIVE,CAPITAL SALARIES,NEIGHBOURHOODS AND ENVIRONMENT
Rochdale Borough Council,r1002099,24/04/2019,"£53,954.00",REDMAN PARTNERSHIPS LLP,CONSULTANTS FEES,ECONOMY DIRECTORATE
Rochdale Borough Council,e1028001,24/04/2019,"£48,045.48",PENNINE CARE NHS,HEALTH AUTH - SERVICE LEVEL AGREEMENT,EARLY HELP AND SCHOOLS
Rochdale Borough Council,d1082458,24/04/2019,"£40,636.39",ROCHDALE DEVELOPMENT AGENCY,BASIC SALARIES,ECONOMY DIRECTORATE
Rochdale Borough Council,e1028000,24/04/2019,"£37,395.48",PENNINE CARE NHS,HEALTH AUTH - SERVICE LEVEL AGREEMENT,EARLY HELP AND SCHOOLS
Rochdale Borough Council,e1028004,24/04/2019,"£36,520.20",AXIOM EDUCATION ROCHDALE LIMITED,MEALS,EARLY HELP AND SCHOOLS
Rochdale Borough Council,r1002097,24/04/2019,"£24,123.00",FOCUS CONSULTANTS 2010 LLP,CONSULTANTS FEES,ECONOMY DIRECTORATE
Rochdale Borough Council,e1028002,24/04/2019,"£20,000.00",PANORAMIC ASSOCIATES LTD,AGENCY STAFF,EARLY HELP AND SCHOOLS
Rochdale Borough Council,e1028007,24/04/2019,"£18,520.52",AXIOM EDUCATION ROCHDALE LIMITED,WATER CHARGES,EARLY HELP AND SCHOOLS
Rochdale Borough Council,s1024558,24/04/2019,"£11,500.00",POSSABILITIES CIC TRADING,PURCHASE OF FURNITURE AND EQUIPMENT,ADULT CARE LCO FUNCTIONS
Rochdale Borough Council,d1082477,24/04/2019,"£7,095.00",GROUNDWORK LANDSCAPES LIMITED,ENVIRONMENTAL WORKS LANDSCAPE,NEIGHBOURHOODS AND ENVIRONMENT
Rochdale Borough Council,f1007835,24/04/2019,"£5,563.94",HEALTH MANAGEMENT LIMITED,OCCUPATIONAL HEALTH,RESOURCES
Rochdale Borough Council,d1082481,24/04/2019,"£5,420.00",TLC GARDEN SERVICES,ENVIRONMENTAL WORKS LANDSCAPE,NEIGHBOURHOODS AND ENVIRONMENT
Rochdale Borough Council,d3001758,24/04/2019,"£5,130.08",C E S LTD,IMPROVEMENTS-MODERNISATION,PROPERTY AND HIGHWAYS
Rochdale Borough Council,d3001768,25/04/2019,"£391,762.69",COMMUNITY LIGHTING PARTNERSHIP ROCHDALE LTD,PFI SCHEMES RPIX,PROPERTY AND HIGHWAYS
Rochdale Borough Council,r1002101,25/04/2019,"£148,600.00",DONALD INSALL ASSOCIATES,CONSULTANTS FEES,ECONOMY DIRECTORATE
Rochdale Borough Council,r1002102,25/04/2019,"£138,625.00",DONALD INSALL ASSOCIATES,CONSULTANTS FEES,ECONOMY DIRECTORATE
Rochdale Borough Council,f1007842,25/04/2019,"£105,007.00",MAZARS LLP,FEES / COMMISSION,RESOURCES
Rochdale Borough Council,d2001308,25/04/2019,"£91,905.00",EVERYTHING EVERYWHERE LIMITED,TRANSACTIONS-EXPENDITURE,NEIGHBOURHOODS AND ENVIRONMENT
Rochdale Borough Council,r1002103,25/04/2019,"£48,875.00",DONALD INSALL ASSOCIATES,CONSULTANTS FEES,ECONOMY DIRECTORATE
Rochdale Borough Council,d3001772,25/04/2019,"£31,341.51",J C MILLS & SON LIMITED,PROPERTY - WORKS ELEMENT,PROPERTY AND HIGHWAYS
Rochdale Borough Council,f1007846,25/04/2019,"£23,100.00",NHS HEYWOOD MIDDLETON AND ROCHDALE CCG,AGENCY STAFF,RESOURCES
Rochdale Borough Council,r1002100,25/04/2019,"£15,000.00",MANCHESTER METROPOLITAN UNIVERSITY,CONSULTANTS FEES,ECONOMY DIRECTORATE
Rochdale Borough Council,d2001311,25/04/2019,"£13,520.00",COMMUNICATE TECHNOLOGY PLC,SOFTWARE,NEIGHBOURHOODS AND ENVIRONMENT
Rochdale Borough Council,d3001769,25/04/2019,"£9,000.00",PATROL,EQUIPMENT - GENERAL,PROPERTY AND HIGHWAYS
Rochdale Borough Council,s1024560,25/04/2019,"£8,487.38",UPS BUILDING AND MAINTENANCE LTD,MINOR BUILDING WORKS,ADULT CARE LCO FUNCTIONS
Rochdale Borough Council,x1017550,25/04/2019,"£7,728.00",THE FOSTERING NETWORK,FEES / COMMISSION,CHILDREN’S SOCIAL CARE
Rochdale Borough Council,s1024561,25/04/2019,"£5,575.50",UPS BUILDING AND MAINTENANCE LTD,MINOR BUILDING WORKS,ADULT CARE LCO FUNCTIONS
Rochdale Borough Council,f1007845,25/04/2019,"£5,160.96",NHS HEYWOOD MIDDLETON AND ROCHDALE CCG,AGENCY STAFF,RESOURCES
Rochdale Borough Council,s1024564,25/04/2019,"£5,092.50",UPS BUILDING AND MAINTENANCE LTD,MINOR BUILDING WORKS,ADULT CARE LCO FUNCTIONS
Rochdale Borough Council,x1017552,26/04/2019,"£49,000.00",NHS HEYWOOD MIDDLETON AND ROCHDALE CCG,AGENCY STAFF,CHILDREN’S SOCIAL CARE
Rochdale Borough Council,d1082508,26/04/2019,"£21,314.00",PROLUDIC LTD,ENVIRONMENTAL WORKS LANDSCAPE,NEIGHBOURHOODS AND ENVIRONMENT
Rochdale Borough Council,d2001329,26/04/2019,"£7,993.00",DATA SPACE LTD,DATA COLLECTION,RESOURCES
Rochdale Borough Council,d2001340,26/04/2019,"£6,582.00",DATA SPACE LTD,DATA COLLECTION,CHILDREN’S SOCIAL CARE
Rochdale Borough Council,r1002106,29/04/2019,"£51,933.60",J GREENWOOD (BUILDERS) LIMITED,IMPROVEMENTS-MODERNISATION,ECONOMY DIRECTORATE
Rochdale Borough Council,d2001342,29/04/2019,"£43,500.00",STHREE PARTNERSHIP LLP,AGENCY STAFF,NEIGHBOURHOODS AND ENVIRONMENT
Rochdale Borough Council,f1007859,29/04/2019,"£18,723.65",THOMSON REUTERS,REFERENCE BOOKS/NEWSPAPERS/PERIODICALS,RESOURCES
Rochdale Borough Council,f1007851,29/04/2019,"£17,995.00",ACAS,TRAINING-NON QUALIFICATION,RESOURCES
Rochdale Borough Council,f1007852,29/04/2019,"£14,645.65",ROYAL MAIL GROUP LTD,POSTAGE,RESOURCES
Rochdale Borough Council,ph103574,29/04/2019,"£8,710.73",TURNING POINT,PH OTHER CONTRACTS,PUBLIC HEALTH
Rochdale Borough Council,ph103575,29/04/2019,"£7,940.00",TURNING POINT,CONTRACTED SERVICES,PUBLIC HEALTH
Rochdale Borough Council,d3001790,29/04/2019,"£6,905.73",J C MILLS & SON LIMITED,REPAIRS & ALTS OF BUILDINGS,EARLY HELP AND SCHOOLS
Rochdale Borough Council,d1082515,29/04/2019,"£5,250.00",STORM ENVIRONMENTAL LTD,EQUIPMENT - GENERAL,NEIGHBOURHOODS AND ENVIRONMENT
Rochdale Borough Council,d1082522,29/04/2019,"£5,152.00",NORTH WEST PORTABLES,FEES - PLANT MACHINERY EQUIPMENT,NEIGHBOURHOODS AND ENVIRONMENT
Rochdale Borough Council,d2001350,30/04/2019,"£227,490.00",XMA LIMITED,PURCHASE OF ICT HARDWARE,NEIGHBOURHOODS AND ENVIRONMENT
Rochdale Borough Council,w1001994,30/04/2019,"£45,000.00",AXON MOORE LTD,CONSULTANT FEES,COMMISSIONING AND STATUTORY
Rochdale Borough Council,s1024574,30/04/2019,"£44,000.00",MERCY GLOBAL CONSULT LTD,EXPENSES - GENERAL,COMMISSIONING AND STATUTORY
Rochdale Borough Council,s1024575,30/04/2019,"£44,000.00",S MUSTAFA LIMITED,EXPENSES - GENERAL,COMMISSIONING AND STATUTORY
Rochdale Borough Council,e1028042,30/04/2019,"£36,550.30",AXIOM EDUCATION ROCHDALE LIMITED,MEALS,EARLY HELP AND SCHOOLS
Rochdale Borough Council,x1017565,30/04/2019,"£10,950.63",ROSS CARE,EQUIPMENT - GENERAL,EARLY HELP AND SCHOOLS
Rochdale Borough Council,d1082546,30/04/2019,"£7,000.00",G AND A TAYLOR HOTELS LTD,ACCOMMODATION,NEIGHBOURHOODS AND ENVIRONMENT
Rochdale Borough Council,d1082547,30/04/2019,"£7,000.00",G AND A TAYLOR HOTELS LTD,ACCOMMODATION,NEIGHBOURHOODS AND ENVIRONMENT
Rochdale Borough Council,d1082548,30/04/2019,"£7,000.00",G AND A TAYLOR HOTELS LTD,ACCOMMODATION,NEIGHBOURHOODS AND ENVIRONMENT
Rochdale Borough Council,d1082549,30/04/2019,"£7,000.00",G AND A TAYLOR HOTELS LTD,ACCOMMODATION,NEIGHBOURHOODS AND ENVIRONMENT
Rochdale Borough Council,x1017568,01/05/2019,"£47,300.00",BRENT COUNCIL,ADOPTION PAYMENTS,CHILDREN’S SOCIAL CARE
Rochdale Borough Council,d3001803,01/05/2019,"£4,191,000.00",BALFOUR BEATTY LIVING PLACES,TRANSACTIONS-EXPENDITURE,PROPERTY AND HIGHWAYS
Rochdale Borough Council,e1028053,01/05/2019,"£71,999.99",POSITIVE STEPS,EXTERNALLY MANAGED FUNDS,EARLY HELP AND SCHOOLS
Rochdale Borough Council,e1028043,01/05/2019,"£12,750.00",BARNARDOS,SUBSCRIPTIONS,EARLY HELP AND SCHOOLS
Rochdale Borough Council,e1028046,01/05/2019,"£12,750.00",BARNARDOS,SUBSCRIPTIONS,EARLY HELP AND SCHOOLS
Rochdale Borough Council,e1028047,01/05/2019,"£12,750.00",BARNARDOS,SUBSCRIPTIONS,EARLY HELP AND SCHOOLS
Rochdale Borough Council,e1028048,01/05/2019,"£12,750.00",BARNARDOS,SUBSCRIPTIONS,EARLY HELP AND SCHOOLS
Rochdale Borough Council,s1024581,01/05/2019,"£10,515.97",ROSS CARE,ADAPTATIONS,ADULT CARE LCO FUNCTIONS
Rochdale Borough Council,d1082571,01/05/2019,"£5,417.00",RHODES WHITE CONSULTANCY LIMITED,ACTIVITIES,NEIGHBOURHOODS AND ENVIRONMENT
Rochdale Borough Council,d1082569,01/05/2019,"£5,068.00",LS SYSTEMS LTD,"TREES, SHRUBS, PLANTS",NEIGHBOURHOODS AND ENVIRONMENT
Rochdale Borough Council,d2001358,01/05/2019,"£5,055.00",DAISY COMMUNICATIONS LTD,TRANSACTIONS-EXPENDITURE,NEIGHBOURHOODS AND ENVIRONMENT
Rochdale Borough Council,d2001360,02/05/2019,"£537,758.60",PHOENIX SOFTWARE LIMITED,SOFTWARE LICENSES,NEIGHBOURHOODS AND ENVIRONMENT
Rochdale Borough Council,s1024585,02/05/2019,"£500,972.00",THE PENNINE ACUTE HOSPITALS NHS TRUST,CONTRACTS,BETTER CARE FUND POOLED BUDGET
Rochdale Borough Council,s1024584,02/05/2019,"£475,910.00",THE PENNINE ACUTE HOSPITALS NHS TRUST,CONTRACTS,BETTER CARE FUND POOLED BUDGET
Rochdale Borough Council,d1082591,02/05/2019,"£41,597.82",ROCHDALE HOUSING INITIATIVE,CAPITAL SALARIES,NEIGHBOURHOODS AND ENVIRONMENT
Rochdale Borough Council,d3001809,02/05/2019,"£25,000.00",MACDONALD AND COMPANY FREELANCE LTD,AGENCY STAFF,ECONOMY DIRECTORATE
Rochdale Borough Council,d1082577,02/05/2019,"£21,450.00",DOBSON UK LTD,CONTRACTS,NEIGHBOURHOODS AND ENVIRONMENT
Rochdale Borough Council,d1082581,02/05/2019,"£20,000.00",NO WORRIES IT LTD,ACTIVITIES,NEIGHBOURHOODS AND ENVIRONMENT
Rochdale Borough Council,d1082580,02/05/2019,"£18,489.00",NO WORRIES IT LTD,ACTIVITIES,NEIGHBOURHOODS AND ENVIRONMENT
Rochdale Borough Council,d2001365,02/05/2019,"£8,883.00",XMA LIMITED,PURCHASE OF ICT HARDWARE,NEIGHBOURHOODS AND ENVIRONMENT
Rochdale Borough Council,d3001812,02/05/2019,"£7,000.00",COMPLIANCE365,PROPERTY - WORKS ELEMENT,PROPERTY AND HIGHWAYS
Rochdale Borough Council,s1024588,02/05/2019,"£5,647.58",UPS BUILDING AND MAINTENANCE LTD,MINOR BUILDING WORKS,ADULT CARE LCO FUNCTIONS
Rochdale Borough Council,d3001816,02/05/2019,"£5,547.88",ATG ACCESS LTD,MINOR BUILDING WORKS,PROPERTY AND HIGHWAYS
Rochdale Borough Council,s1024587,02/05/2019,"£5,409.11",UPS BUILDING AND MAINTENANCE LTD,TRANSACTIONS-EXPENDITURE,ADULT CARE LCO FUNCTIONS
Rochdale Borough Council,r1002110,02/05/2019,"£5,000.00",ROCHDALE TOWN CENTRE MANAGEMENT LTD,CONSULTANTS FEES,ECONOMY DIRECTORATE
Rochdale Borough Council,r1002111,02/05/2019,"£5,000.00",ROCHDALE TOWN CENTRE MANAGEMENT LTD,CONSULTANTS FEES,ECONOMY DIRECTORATE
Rochdale Borough Council,f1007873,03/05/2019,"£180,000.00",ROCHDALE TOWN CENTRE MANAGEMENT LTD,TRANSACTIONS-EXPENDITURE,BUSINESS RATES BID INCOME
Rochdale Borough Council,d1082612,03/05/2019,"£20,000.00",HILL DICKINSON LLP,LEGAL SERVICES EXTERNAL,ECONOMY DIRECTORATE
Rochdale Borough Council,s1024592,03/05/2019,"£16,257.46",QUALIA CARE LTD,RESIDENTIAL LONG TERM,ADULT CARE LCO FUNCTIONS
Rochdale Borough Council,x1017585,03/05/2019,"£11,978.00",LANCASHIRE COUNTY COUNCIL,OTHER LOCAL AUTHORITIES,EARLY HELP AND SCHOOLS
Rochdale Borough Council,ph103582,03/05/2019,"£9,832.16",RIS PRODUCTS LTD,CONTRACTED SERVICES,PUBLIC HEALTH
Rochdale Borough Council,ph103584,03/05/2019,"£5,769.44",BIG LIFE CENTRES,EXPENSES - GENERAL,PUBLIC HEALTH
Rochdale Borough Council,x1017584,03/05/2019,"£5,104.00",GATENBY SANDERSON,TRAINING,CHILDREN’S SOCIAL CARE
Rochdale Borough Council,d2001366,07/05/2019,"£136,495.00",XMA LIMITED,PURCHASE OF ICT HARDWARE,NEIGHBOURHOODS AND ENVIRONMENT
Rochdale Borough Council,s1024595,07/05/2019,"£30,000.00",THE PENNINE ACUTE HOSPITALS NHS TRUST,SERVICE LEVEL AGREEMENTS,ADULT CARE LCO FUNCTIONS
Rochdale Borough Council,x1017592,07/05/2019,"£30,000.00",GATENBY SANDERSON,TRAINING,CHILDREN’S SOCIAL CARE
Rochdale Borough Council,e1028064,07/05/2019,"£25,200.00",BALTIMORE CONSULTING LTD,AGENCY STAFF,EARLY HELP AND SCHOOLS
Rochdale Borough Council,s1024594,07/05/2019,"£19,999.92",THE PENNINE ACUTE HOSPITALS NHS TRUST,SERVICE LEVEL AGREEMENTS,ADULT CARE LCO FUNCTIONS
Rochdale Borough Council,s1024597,07/05/2019,"£19,999.92",THE PENNINE ACUTE HOSPITALS NHS TRUST,SERVICE LEVEL AGREEMENTS,ADULT CARE LCO FUNCTIONS
Rochdale Borough Council,ph103586,07/05/2019,"£17,037.69",ROCHDALE HOUSING INITIATIVE,CONTRACTED SERVICES,PUBLIC HEALTH
Rochdale Borough Council,s1024601,07/05/2019,"£5,872.11",UPS BUILDING AND MAINTENANCE LTD,MINOR BUILDING WORKS,ADULT CARE LCO FUNCTIONS
Rochdale Borough Council,s1024600,07/05/2019,"£5,410.02",UPS BUILDING AND MAINTENANCE LTD,MINOR BUILDING WORKS,ADULT CARE LCO FUNCTIONS
Rochdale Borough Council,d1082619,07/05/2019,"£5,250.00",ROCHDALE HOUSING INITIATIVE,CAPITAL SALARIES,NEIGHBOURHOODS AND ENVIRONMENT
Rochdale Borough Council,e1028088,08/05/2019,"£343,709.98",INSPIREDSPACES ROCHDALE PROJECTCO2 LTD,PFI SCHEMES RPIX,EARLY HELP AND SCHOOLS
Rochdale Borough Council,e1028086,08/05/2019,"£305,589.53",INSPIREDSPACES ROCHDALE PROJECT CO1 LTD,PFI SCHEMES RPIX,EARLY HELP AND SCHOOLS
Rochdale Borough Council,d1082645,08/05/2019,"£83,285.00",BLOOM PROCUREMENT SERVICES LTD,CONSULTANT FEES,NEIGHBOURHOODS AND ENVIRONMENT
